,项目,,,2025年,,,2024年,本年比上年增减,,,2023年,
,营业收入,,"423,701,834",,,"362,012,554",,17.04%,,"400,917,045",,
,归属于上市公司股东,,"72,201,282",,,"50,744,682",,42.28%,,"44,121,248",,
,的净利润,,,,,,,,,,,
,归属于上市公司股东,,"64,507,864",,,"44,992,919",,43.37%,,"40,091,674",,
,的扣除非经常性损益,,,,,,,,,,,
,的净利润,,,,,,,,,,,
,经营活动产生的现金,,"133,219,982",,,"96,990,345",,37.35%,,"92,826,124",,
,流量净额,,,,,,,,,,,
,基本每股收益（元/,,16.14,,,11.58,,39.38%,,10.06,,
,股）,,,,,,,,,,,
,稀释每股收益（元/,,16.14,,,11.58,,39.38%,,10.05,,
,股）,,,,,,,,,,,
,加权平均净资产收益,,24.91%,,,24.13%,,0.78%,,24.04%,,
,率,,,,,,,,,,,
,项目,,,2025年末,,,2024年末,本年末比上年末增减,,,2023年末,
,资产总额,,"974,827,544",,,"786,658,123",,23.92%,,"717,168,041",,
,归属于上市公司股东,,"337,107,747",,,"246,930,033",,36.52%,,"197,708,052",,
,的净资产,,,,,,,,,,,
