,项目,,,2025年金额,,,2024年金额,,,2023年金额,,,说明,,,
,非流动性资产处置损益（包括已计提资,,"788,312",,,"169,816",,,"-235,944",,,,,,,
,产减值准备的冲销部分）,,,,,,,,,,,,,,,
,除同公司正常经营业务相关的有效套期,,"1,362,488",,,"843,832",,,"73,029",,,,,,,
,保值业务外，非金融企业持有金融资产,,,,,,,,,,,,,,,
,和金融负债产生的公允价值变动损益以,,,,,,,,,,,,,,,
,及处置金融资产和金融负债产生的损益,,,,,,,,,,,,,,,
,单独进行减值测试的应收款项减值准备,,"28,886",,,"2,687",,,"62,339",,,,,,,
,转回,,,,,,,,,,,,,,,
,除上述各项之外的其他营业外收入和支,,"7,909",,,"-612,613",,,"195,751",,,,,,,
,出,,,,,,,,,,,,,,,
,其他符合非经常性损益定义的损益项目,,"8,704,038",,,"8,128,318",,,"5,909,090",,,,,,,
,减：所得税影响额,,"2,017,532",,,"1,665,244",,,"1,194,027",,,,,,,
,少数股东权益影响额（税后）,,"1,180,684",,,"1,115,034",,,"780,664",,,,,,,
,合计,,"7,693,417",,,"5,751,762",,,"4,029,575",,,,,--,,
