项目,,营业收入,营业成本,毛利率,,营业收入比上,,,营业成本比上,,,毛利率比上年,
,,,,,,年同期增减,,,年同期增减,,,同期增减,
,分业务,,,,,,,,,,,,
电气机械及器材 制造业,,"417,723,738","307,077,698",26.49%,17.17%,,,14.37%,,,1.80%,,
采选冶炼行业,,"5,978,096","5,305,599",11.25%,8.83%,,,5.59%,,,2.72%,,
,分产品,,,,,,,,,,,,
动力电池系统,,"316,506,369","241,064,397",23.84%,25.08%,,,25.25%,,,-0.10%,,
储能电池系统,,"62,439,820","45,763,689",26.71%,8.99%,,,9.18%,,,-0.13%,,
电池材料及回收,,"21,860,936","15,899,813",27.27%,-23.83%,,,-38.09%,,,16.76%,,
电池矿产资源,,"5,978,096","5,305,599",11.25%,8.83%,,,5.59%,,,2.72%,,
,分地区,,,,,,,,,,,,
境内,,"294,060,576","223,497,885",24.00%,16.84%,,,14.22%,,,1.75%,,
境外,,"129,641,258","88,885,412",31.44%,17.50%,,,14.19%,,,1.99%,,
