项目,,2025年末,,,,2025年初,,,,比重增减,重大变动说明
,金额,,占总资产比例,,金额,,,占总资产,,,
,,,,,,,,比例,,,
货币资金,"333,512,927",,34.21%,,"303,511,993",,38.58%,,,-4.37%,其他资产占比上升
交易性金融资产,"58,993,528",,6.05%,,"14,282,253",,1.82%,,,4.23%,加强资金管理，新 增购买理财产品
应收账款,"76,403,264",,7.84%,,"64,135,510",,8.15%,,,-0.31%,无重大变化
合同资产,"375,468",,0.04%,,"400,626",,0.05%,,,-0.01%,无重大变化
存货,"94,526,239",,9.70%,,"59,835,533",,7.61%,,,2.09%,业务规模扩大，存 货相应增加
长期股权投资,"64,884,321",,6.66%,,"54,791,525",,6.97%,,,-0.31%,无重大变化
固定资产,"146,400,592",,15.02%,,"112,589,053",,14.31%,,,0.71%,无重大变化
在建工程,"29,733,108",,3.05%,,"29,754,703",,3.78%,,,-0.73%,无重大变化
使用权资产,"3,268,966",,0.34%,,"889,995",,0.11%,,,0.23%,无重大变化
短期借款,"12,935,498",,1.33%,,"19,696,282",,2.50%,,,-1.17%,无重大变化
合同负债,"49,233,377",,5.05%,,"27,834,446",,3.54%,,,1.51%,无重大变化
长期借款,"78,234,935",,8.03%,,"81,238,456",,10.33%,,,-2.30%,本期偿还借款
租赁负债,"2,805,081",,0.29%,,"662,814",,0.08%,,,0.21%,无重大变化
