项目,,,期初数,,本期公允,,,计入权益的,,本期计提 的减值,本期购买金 额,本期出售金 额,其他变动,期末数,
,,,,,价值变动,,,累计公允价,,,,,,,
,,,,,损益,,,值变动,,,,,,,
,金融资产,,,,,,,,,,,,,,
,1.交易性金,,"14,282,253","441,408",,,,,,,"44,269,867",,,"58,993,528",
,融资产（不,,,,,,,,,,,,,,
,含衍生金融,,,,,,,,,,,,,,
,资产）,,,,,,,,,,,,,,
,2.衍生金融,,"-2,116,017",,,,"1,133,502",,,,"291,673,084","213,886,303",,"1,133,502",
,资产,,,,,,,,,,,,,,
,3.其他权益,,"11,900,901",,,,"6,444,364",,,,"1 , 1 5 3 , 5 9 3","2 , 7 4 4 ,902","-255,330","16,296,853",
,工具投资,,,,,,,,,,,,,,
,4.其他非流,,"3,135,658","535,385",,,,,,,"100,000",,"-888,779","2,882,264",
,动金融资产,,,,,,,,,,,,,,
5.应收款项 融资,,,"53,309,701",,,,"-100,346",,,,,"10,122,136",,"43,205,292",
,金融资产小,,"80,512,496","976,793",,,"7,477,520",,,,"3 3 7 , 1 9 6 , 5 4 3","2 2 6 , 7 5 3 ,341","-1,144,109","122,511,440",
,计合计,,,,,,,,,,,,,,
,金融负债,,,"-2,715",,,"393,224",,,,"41,313,504","26,548,835",,"393,224",
