项目名 称,,,投 资 方 式,,是否,,投资 项目 涉及 行业,,,本报告期 投入金额,,,截至报告 期末累计 实际投入 金额,,,资金 来源,,,项 目 进 度,,,预 计 收 益,,,,截止报,,,未达到,,披露日 期,,,披露索引,,
,,,,,为固,,,,,,,,,,,,,,,,,,,,,告期末,,,计划进,,,,,,,
,,,,,定资,,,,,,,,,,,,,,,,,,,,,累计实,,,度和预,,,,,,,
,,,,,产投,,,,,,,,,,,,,,,,,,,,,现的收,,,计收益,,,,,,,
,,,,,资,,,,,,,,,,,,,,,,,,,,,益,,,的原因,,,,,,,
,宜昌邦,,自 建,是,,,,锂离,,"2,262,305",,,"16,528,380",,,自有 及自 筹资 金,,,建 设 中,,,不 适 用,,,不适用,,,尚在建 设中,,,2021年 10月12 日,,,巨潮资讯 网，公告 编号： 2021-100,,
,普一体,,,,,,,子电,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,化电池,,,,,,,池正,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,材料产,,,,,,,极材,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,业园项,,,,,,,料制,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,目,,,,,,,造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,印度尼,,自 建,是,,,,电器,,"1,483,482",,,"5,369,789",,,自有 及自 筹资 金,,,建 设 中,,,不 适 用,,,不适用,,,尚在建 设中,,,2022年 4月15 日,,,巨潮资讯 网，公告 编号： 2022-012,,
,西亚动,,,,,,,机械,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,力电池,,,,,,,及器,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,产业链,,,,,,,材制,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,项目,,,,,,,造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山东时,,自 建,是,,,,电器,,"6,801,291",,,"8,799,218",,,自有 及自 筹资 金,,,建 设 中,,,不 适 用,,,不适用,,,尚在建 设中,,,2022年 7月21 日,,,巨潮资讯 网，公告 编号： 2022-064,,
,代新能,,,,,,,机械,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,源电池,,,,,,,及器,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,产业基,,,,,,,材制,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,地项目,,,,,,,造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中州时 代新能 源电池 生产基 地项目,,,自 建,是,,,电器 机械 及器 材制 造业,,,"7,804,396",,,"9,767,971",,,自有 及自 筹资 金,,,建 设 中,,,不 适 用,,,不适用,,,尚在建 设中,,,,2022年,,,巨潮资讯,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9月28,,,网，公告,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日、,,,编号：,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 年,,,2022-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 月 9,,,103、,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日,,,2024-046,
,匈牙利,,自 建,是,,,电器 机械 及器 材制 造业,,,"5,200,179",,,"9,806,013",,,,自,,建 设 中,,,不 适 用,,,不适用,,,尚在建 设中,,,2022年 8月13 日,,,巨潮资讯 网，公告 编号： 2022-070,,
,时代新,,,,,,,,,,,,,,,,有、,,,,,,,,,,,,,,,,,,,
,能源电,,,,,,,,,,,,,,,,自筹,,,,,,,,,,,,,,,,,,,
,池产业,,,,,,,,,,,,,,,,及募,,,,,,,,,,,,,,,,,,,
,基地项,,,,,,,,,,,,,,,,集资,,,,,,,,,,,,,,,,,,,
,目,,,,,,,,,,,,,,,,金,,,,,,,,,,,,,,,,,,,
,合计,,,,,,,,,,"23,551,653",,,"50,271,370",,,--,,,--,,,--,,,--,,,--,,,--,,,--,
