证券品 种,,证券代码,证券简称,,最初投资成本,会计计 量模式,,,期初账面 价值,,本期,,计入权益 的累计公 允价值变 动,本期购买 金额,本期出售 金额,报告期 损益,期末账面价 值,会计核算 科目,,,资金 来源,,
,,,,,,,,,,,公允,,,,,,,,,,,,
,,,,,,,,,,,价值,,,,,,,,,,,,
,,,,,,,,,,,变动,,,,,,,,,,,,
,,,,,,,,,,,损益,,,,,,,,,,,,
境内外 股票,,09973.HK,奇瑞汽车,,"1,494,848",公允价 值计量,,,"724,364",,,,"3,312,845","774,206",,"58,895","4,807,693",其他权益 工具投资,,,自有,,
境内外 股票,,301358.SZ,湖南裕能,,"200,000",公允价 值计量,,,"2,712,227",,,,"3,669,651",,,"9,396","3,869,651",其他权益 工具投资,,,自有,,
境内外 股票,,MDKA.IDX,MDKA,,"1,540,298",公允价 值计量,,,"865,899",,,,"-389,042",,,,"1,151,256",其他权益 工具投资,,,自有,,
境内外 股票,,00175.HK,吉利汽车,,"1,000,284",公允价 值计量,,,,,,,"52,930","1,000,284",,,"1,053,214",其他权益 工具投资,,,自有,,
境内外 股票,,DIDIY.OO,滴滴出行 -ADR,,"355,960",公允价 值计量,,,"425,229",,,,"124,425",,,,"480,385",其他权益 工具投资,,,自有,,
境内外 股票,,301658.SZ,首航新能,,"231,959",公允价 值计量,,,"207,332",,,,"86,029",,,"1,403","317,988",其他权益 工具投资,,,自有,,
境内外 股票,,AIRJ.NASDAQ,AIRJ,,"25,122",公允价 值计量,,,"92,903",,,,"11,077",,"19,913",,"34,511",其他权益 工具投资,,,自有,,
境内外 股票,,301150.SZ,中一科技,,"30,959",公允价 值计量,,,"11,079",,,,"-2,752",,,,"28,207",其他权益 工具投资,,,自有,,
境内外 股票,,02245.HK,力勤资源,,"729,273",公允价 值计量,,,"307,797",,,,-748,,"818,876","17,299","2 0 ,539",其他权益 工具投资,,,自有,,
境内外 股票,,NEXM.TSX,NEXM,,"56,592",公允价 值计量,,,"10,080",,,,"-50,291",,,,"6,301",其他权益 工具投资,,,自有,,
,期末持有的其他证券投资,,,,"2,055,608",,--,,"1,716,568",,,,,,"1 , 9 0 6 , 2 3 4","2 ,991",,,- -,,,- -,
,合计,,,,"7,720,903",,--,,"7,073,480",,,,"6,814,125","1,774,490","2,745,022","89,983","11,769,745",,--,,,--,
,证券投资审批董事会公告披露日期,,,,2020 年 8 月 10 日、2021 年 4 月 26 日,,,,,,,,,,,,,,,,,,
