衍生品 投资类 型,,,初始投资金 额(1),期初金额,本期公 允价值 变动损 益,,计入权,,报告期内购 入金额,报告期内售 出金额,期末金额,期末投资金额 占公司报告期 末净资产比例
,,,,,,,益的累,,,,,
,,,,,,,计公允,,,,,
,,,,,,,价值变,,,,,
,,,,,,,动,,,,,
商品,,,"11,272,644","445,396","-2,715","-141,135",,,"10,824,286","6,376,459","5,080,849",1.51%
外汇,,,"358,406,422","36,324,037",,"881,413",,,"322,162,302","234,058,679","126,264,723",37.46%
,合计,,"369,679,066","36,769,433","-2,715","740,278",,,"332,986,588","240,435,138","131,345,572",38.96%
,报告期,,无重大变化,,,,,,,,,
,内套期,,,,,,,,,,,
,保值业,,,,,,,,,,,
,务的会,,,,,,,,,,,
,计政,,,,,,,,,,,
,策、会,,,,,,,,,,,
,计核算,,,,,,,,,,,
,具体原,,,,,,,,,,,
,则，以,,,,,,,,,,,
,及与上,,,,,,,,,,,
,一报告,,,,,,,,,,,
,期相比,,,,,,,,,,,
,是否发,,,,,,,,,,,
,生重大,,,,,,,,,,,
,变化的,,,,,,,,,,,
,说明,,,,,,,,,,,
,报告期,,为规避和防范主要产品价格及外汇汇率波动给公司带来的经营风险，公司按照一定比例，针对公司生产经营 相关的产品、原材料及外汇开展套期保值、远期结售汇及外汇掉期等业务，业务规模均在预期的采购、销售 业务规模内，具备明确的业务基础。报告期内，公司商品及外汇套期保值衍生品合约和现货盈亏相抵后的结 果为略有盈利，套期业务实际损益金额3.60亿元。,,,,,,,,,
,实际损,,,,,,,,,,,
,益情况,,,,,,,,,,,
,的说明,,,,,,,,,,,
,套期保,,公司从事套期保值业务的金融衍生品和商品期货品种与公司生产经营相关的产品、原材料和外汇相挂钩，可 抵消现货市场交易中存在的价格风险的交易活动，实现了预期风险管理目标。,,,,,,,,,
,值效果,,,,,,,,,,,
,的说明,,,,,,,,,,,
,衍生品,,自有及自筹资金,,,,,,,,,
,投资资,,,,,,,,,,,
,金来源,,,,,,,,,,,
,报告期,,一、公司进行套期保值业务的风险分析 通过套期保值操作可以规避商品价格波动、汇率波动对公司造成的影响，有利于公司的正常经营，但同时也 可能存在一定风险： 1、市场风险：期货、远期合约及其他衍生产品行情变动幅度较大，可能产生价格波动风险，造成套期保值损 失； 2、系统风险：全球性经济影响导致金融系统风险； 3、技术风险：可能因为计算机系统不完备导致技术风险； 4、操作风险：由于交易员主观臆断或不完善的操作造成错单，给公司带来损失； 5、违约风险：由于对手出现违约，不能按照约定支付公司套期保值盈利而无法对冲公司实际的损失。 二、公司进行套期保值的准备工作及风险控制措施 1、公司已制定《套期保值业务内部控制及风险管理制度》，在整个套期保值操作过程中所有交易都将严格按 照上述制度执行； 2、为进一步加强期货、远期合约及其他衍生产品保值管理工作，健全和完善境外期货、远期合约及其他衍生,,,,,,,,,
,衍生品,,,,,,,,,,,
,持仓的,,,,,,,,,,,
,风险分,,,,,,,,,,,
,析及控,,,,,,,,,,,
,制措施,,,,,,,,,,,
,说明,,,,,,,,,,,
,（包括,,,,,,,,,,,
,但不限,,,,,,,,,,,
,于市场,,,,,,,,,,,
,风险、,,,,,,,,,,,
,流动性,,,,,,,,,,,
,风险、,,,,,,,,,,,
