任职人 员姓名,其他单位名称,,在其他单,,任期起始日期,任期终止日期,,在其他单位,
,,,位担任的,,,,,是否领取报,
,,,职务,,,,,酬津贴,
曾毓群,香港瑞华投资有限公司,董事,,,2017年9月,,否,,
,瑞友投资有限公司,董事,,,2017年10月,,否,,
,TOP UNION HOLDINGS LIMITED,董事,,,2019年9月,,否,,
,香港安勝礦業投資有限公司,董事,,,2024年8月,,否,,
潘健,EMERRALD INDUSTRIES LIMITED,董事,,,2015年2月,,否,,
,Glenorchy International Ltd.,董事,,,2020年1月,,否,,
,Trisara International Ltd.,董事,,,2020年1月,,否,,
,Andaman International Ltd.,董事,,,2020年1月,,否,,
,"ANSHENG INVESTMENT CO., LIMITED",董事,,,2025年12月,,否,,
,上海晨光文具股份有限公司,独立董事,,,2023年4月,,是,,
李平,"RCS INVESTMENT CO., LTD",董事,,,2005年6月,,否,,
,RAINBOW RICH PROFITS LTD.,董事,,,2005年6月,,否,,
,RAINBOW CASTLE DEVELOPMENTS LIMITED,董事,,,2013年11月,,否,,
,上海适达投资管理有限公司,执行董事,,,2014年1月,,是,,
,PERFECT LINK VENTURES LIMITED,董事,,,2019年1月,,否,,
,上海盘毂动力科技股份有限公司,董事长,,,2019年5月,2026年2月,否,,
,TOP UNION HOLDINGS LIMITED,董事,,,2019年9月,,否,,
,海南柏睿投资有限公司,执行董事 兼总经理,,,2022年4月,,否,,
,SHIDA INVESTMENT HOLDINGS LIMITED,董事,,,2024年2月,,否,,
周佳,上汽时代动力电池系统有限公司,副董事长,,,2017年6月,,否,,
欧阳楚 英,昆山协鑫光电材料有限公司,董事,,,2020年9月,2025年3月,否,,
吴映明,宁波梅山保税港区倍道投资管理有限公 司,执行董事 兼总经理,,,2015年12月,,否,,
,深圳盛德新能源科技有限公司,董事,,,2022年1月,,否,,
赵蓓,厦门金龙汽车集团股份有限公司,独立董事,,,2020年9月,,是,,
,上海恒润达生生物科技股份有限公司 （非上市公司）,独立董事,,,2021年6月,,是,,
,安井食品集团股份有限公司,独立董事,,,2023年5月,,是,,
吴育辉,青岛征和工业股份有限公司,独立董事,,,2019年11月,2025年5月,是,,
,厦门建发股份有限公司,独立董事,,,2022年5月,,是,,
谭立斌,宁德时代科士达科技有限公司,董事,,,2019年7月,,否,,
,上海快卜新能源科技有限公司,董事,,,2020年3月,,否,,
,福建永福电力设计股份有限公司,董事,,,2021年9月,2025年12月,否,,
,广州汇宁时代新能源发展有限公司,董事长,,,2021年12月,,否,,
,福建时代星云科技有限公司,董事,,,2022年12月,,否,,
