,委,,成员 情况,召开 会议 次数,召开日 期,会议内容,提出的重要意 见和建议,其他履 行职责 的情况,异议 事项 具体 情况
,员,,,,,,,,
,会,,,,,,,,
,名,,,,,,,,
,称,,,,,,,,
审 计 委 员 会,,,吴育 辉、 赵 蓓、 林小 雄,6,2025年 3月7日,审议通过《关于2024年度财务报告的议 案》《关于2024年度计提减值准备的议 案》《关于对会计师事务所2024年度履职 情况评估及履行监督职责情况的报告》《关 于续聘2025年度审计机构的议案》《关于 2025年度套期保值计划的议案》《关于 <2024年内部控制评价报告>的议案》《关 于审计部2024年度工作报告及2025年度 工作计划的议案》《关于修订<董事会审计 委员会工作细则（草案）>的议案》《关于 修订<内部审计制度>的议案》等议案,审计委员会严 格按照相关法 律法规及《公 司章程》《董 事会审计委员 会工作细则》 等相关制度的 规定开展工 作，勤勉尽 责，根据公司 的实际情况， 提出了相关的 意见，经过充 分沟通讨论， 一致通过所有 议案,无,无
,,,,,2025年 4月11 日,审议通过《关于<2025年第一季度报告>的 议案》《关于<审计部2025年第一季度工作 报告>的议案》,,,
,,,,,2025年 5月6日,审议通过《关于聘任审计部负责人的议 案》,,,
,,,,,2025年 7月29 日,审议通过《关于2025年半年度财务报告的 议案》《关于审计部2025年二季度工作报 告的议案》,,,
,,,,,2025年 10月17 日,审议通过《关于2025年第三季度报告的议 案》《关于审计部2025年第三季度工作报 告的议案》,,,
,,,,,2025年 12月2 日,审议通过《关于修订<董事会审计委员会工 作细则>的议案》《关于修订<内部审计制 度>的议案》《关于2025年度新增外汇套期 保值额度的议案》,,,
