姓 名,,,职务,,任 职 状 态,年初持有股 票期权数量,报告 期新 授予 股票 期权 数量,报告期内可 行权股数,报告 期内 已行 权股 数,报告期 内已行 权股数 行权价 格（元/ 股）,期末持有股 票期权数量,报告期末 市价（元/ 股）,期初持有限 制性股票数 量,本期已解 锁股份数 量,,报告,,限制性股票的授 予价格（元/股）,期末持 有限制 性股票 数量
,,,,,,,,,,,,,,,,期新,,,
,,,,,,,,,,,,,,,,授予,,,
,,,,,,,,,,,,,,,,限制,,,
,,,,,,,,,,,,,,,,性股,,,
,,,,,,,,,,,,,,,,票数,,,
,,,,,,,,,,,,,,,,量,,,
周 佳,,,副董事 长兼执 行董事,,现 任,"379,403",,"306,970",,,"249,200",367.26,,,,,,,
谭 立 斌,,,副总经 理,,现 任,,,,,,,,"244,838","32,834",,,,2022年激励计 划：132.66 元/股 2023年激励计 划：100.89 元/股,"163,481"
蒋 理,,,副总经 理、董 事会秘 书、联 席公司 秘书,,现 任,,,,,,,,"162,437","5,970",,,,2022年激励计 划：132.66 元/股 2023年激励计 划：100.89 元/股,"119,424"
郑 舒,,,财务总 监,,现 任,,,,,,,,"163,116","3,316",,,,2022年激励计 划：132.66 元/股 2023年激励计 划：100.89 元/股,"121,924"
赵 丰 刚,,,执行董 事,,离 任,"85,963",,"85,963",,,"53,728",367.26,"241,186","14,924",,,,2022年激励计 划：132.66 元/股 2023年激励计 划：100.89 元/股,"174,175"
,合,,--,,--,"465,366",,"392,933",,,"302,928",,"811,577","57,044",,,,,"579,004"
,计,,,,,,,,,,,,,,,,,,
,备注（如有）,,,,,无,,,,,,,,,,,,,
