,,,厦门瑞庭 投资有限 公司、曾 毓群,关于 规范 和减 少关 联交 易的 承诺,1、本公司及本公司（本人及本人）控制的除 宁德时代及其控股子公司以外的其他企业与宁 德时代及其控股子公司之间将尽量减少关联交 易；在进行确有必要且无法避免的关联交易 时，保证按市场化原则和公允价格进行公平操 作，并按相关法律、法规、规章、规范性文件 及宁德时代《公司章程》的规定履行交易程序 及信息披露义务；保证不通过关联交易损害宁 德时代及其他股东的合法权益。2、上述承诺 在本公司（本人）作为宁德时代控股股东（实 际控制人）期间持续有效。,2017年 11月2日,2017年 11月2日 -长期,正常 履行 中
其他承诺,,,曾毓群,关于 股份 减持 的承 诺,自本人与李平先生一致行动关系解除之日起一 年内，本人控制的厦门瑞庭投资有限公司减持 公司股份时将继续与李平先生合并计算减持额 度。,2024年2 月8日,2024年2 月8日- 2025年2 月7日,履行 完毕
,,,李平,关于 股份 减持 的承 诺,自本人与曾毓群先生一致行动关系解除之日起 一年内，本人减持公司股份时将继续遵守本次 解除一致行动关系前应遵守的关于上市公司实 际控制人股份减持的相关规定，本人将继续与 曾毓群先生控制的厦门瑞庭投资有限公司合并 计算减持额度，将参照上市公司实际控制人的 标准履行相应信息披露义务。,2024年2 月8日,2024年2 月8日- 2025年2 月7日,履行 完毕
,承诺是否按时,,是,,,,,
,履行,,,,,,,
,如承诺超期未,,不适用,,,,,
,履行完毕的，,,,,,,,
,应当详细说明,,,,,,,
,未完成履行的,,,,,,,
,具体原因及下,,,,,,,
,一步的工作计,,,,,,,
,划,,,,,,,
