常州孟腾 智能装备 有限公司,,过去12个 月内公司 离任董事 赵丰刚先 生曾担任 董事,向关联方 采购商品,采购锂电 池生产设 备及配件,,参照市场 价格公允 定价,,,协议 约定,,,"346,734",0.11%,,,"657,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
福建永福 电力设计 股份有限 公司,,公司副总 经理谭立 斌先生过 去12个月 内担任董 事,向关联方 采购商品 及服务,新能源项 目工程服 务及材料 采购,,参照市场 价格公允 定价,,,协议 约定,,,"112,719",0.04%,,,"229,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
福建时代 星云科技 有限公司,,公司持股 5%以上自 然人股东 黄世霖先 生担任董 事长，公 司副总经 理谭立斌 先生担任 董事,向关联方 采购商品,委托加工 储能电池 产品,,参照市场 价格公允 定价,,,协议 约定,,,"6,839",0.00%,,,"20,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
,,,向关联方 销售商品,储能电池 系统,,参照市场 价格公允 定价,,,协议 约定,,,"249,380",0.06%,,,"350,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
上海快卜 新能源科 技有限公 司,,公司副总 经理谭立 斌先生担 任董事,向关联方 销售商品,储能电池 系统,,参照市场 价格公允 定价,,,协议 约定,,,"47,566",0.01%,,,"165,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
洛阳栾川 钼业集团 股份有限 公司,,公司副总 经理、董 事会秘书 蒋理先生 担任董事,向关联方 销售商品,储能电池 系统,,参照市场 价格公允 定价,,,协议 约定,,,467,0.00%,,,"120,000",否,,,按协议约 定结算,,,不适用,,,2025年3 月15日,,,公告编 号： 2025-015,,
,合计,,,,,,--,,,--,,"4,932,701",,--,,"8,301,000",,--,,,--,,,--,,,--,,,--,
,大额销货退回的详细情况,,,,,不适用,,,,,,,,,,,,,,,,,,,,,,,,,
按类别对本期将发生的日常关联交易进行总金额 预计的，在报告期内的实际履行情况,,,,,,公司 2025 年度与上述关联方之间发生的关联交易符合公司生产经营及业务发展实际需要，交易金额均在董事会和股东会审 议的额度范围内，实际发生情况与预计产生差异主要是受公司及相关关联方业务发展情况、市场需求波动等因素影响。公 司 2025 年度与关联方实际发生的关联交易定价公允， 对公司日常经营及业绩不会产生重大不利影响，不存在损害公司和 股东利益的情形。除上述披露的日常关联交易情况外，报告期内公司未发生触及披露标准的其他日常关联交易事项。,,,,,,,,,,,,,,,,,,,,,,,,,
,交易价格与市场参考价格差异较大的原因,,,,,不适用,,,,,,,,,,,,,,,,,,,,,,,,,
