宜昌邦普循 环科技有限 公司,2021年10月27 日、2022年4月 22日、2023年3 月10日,"7,070,000",2022年3 月31日- 2025年7 月17日,"167,396",连带 责任 保证,,,2个 月-3 年,是,否
,,,2022年3 月31日- 2025年 10月29 日,"3,210,527",连带 责任 保证,,,1年 -10 年,否,否
宜昌邦普宜 化新材料有 限公司及其 控股子公司,2022年4月22 日,"2,301,835",2022年6 月28日- 2025年 12月11 日,"62,637",,,已提供 反担保,1个 月-3 年,是,否
,,,2022年6 月28日- 2025年 12月11 日,"1,342,298",,,已提供 反担保,6个 月- 10 年,否,否
印尼普青循 环科技有限 公司,2022年4月22 日、2022年9月 1日,"300,000",2022年9 月26日- 2023年5 月31日,"92,219",质押 担保,存单,,1年 -3 年,是,否
,,,2022年9 月26日- 2023年5 月31日,"138,329",质押 担保,存单,,2年 -5 年,否,否
香港邦普循 环科技有限 公司,2023年3月10 日、2024年3月 16日,"913,744",2025年1 月9日- 2025年3 月20日,"343,376",连带 责任 保证,,,3个 月-6 个 月,是,否
,2025年3月15 日,"1,405,760",,,,,,,否,否
湖北宜化江 家墩矿业有 限公司,2023年3月10 日,"271,830",2024年9 月25日- 2025年 10月21 日,"32,046",连带 责任 保证,,已提供 反担保,2年 -10 年,否,否
宁德时代新 能源科技股 份有限公司,2023年3月10 日、2024年3月 16日,"768,170",2023年6 月16日- 2025年4 月14日,"50,642",连带 责任 保证,,,6个 月-2 年,是,否
,,,2023年6 月16日- 2025年4 月14日,"227,198",连带 责任 保证,,,1年 -9 年,否,否
宁普时代电 池科技有限 公司及其控 股子公司,并表前,,2023年4 月27日,"33,206",连带 责任 保证,,,1年 -3 年,是,否
,2024年3月16 日,,2024年9 月30日- 2025年7 月22日,"249,143",质押 担保,银承,,1个 月- 6个 月,否,否
