,,2025年3月15 日,"2,600,000",2025年7 月24日- 2025年 12月26 日,"159,602",,质押 担保,,银承,,3个 月- 6个 月,是,否,
印尼时代科 技有限公司,,2024年3月16 日,"467,661",2025年3 月11日- 2025年3 月17日,"467,661",,连带 责任 保证,,,,7年 -8 年,否,否,
,,2025年3月15 日,"843,456",2025年 12月31 日,"65,438",,连带 责任 保证,,,,6年 -7 年,否,否,
德国时代新 能源科技有 限公司,,2024年3月16 日,"247,065",2025年1 月8日- 2025年 10月24 日,"121,946",,连带 责任 保证,,,,无 固 定 期 限,否,否,
,,2025年3月15 日,"1,400,035",,,,,,,,,否,否,
屏南时代新 材料技术有 限公司,,2025年3月15 日,"147,000",2025年3 月25日,"61,200",,连带 责任 保证,,,已提供 反担保,2年 -7 年,否,否,
普勤时代国 际有限公司 及其控股子 公司,,2025年3月15 日,"10,191,760",,,,,,,,,否,否,
布里镍钴资 源有限公司,,2025年3月15 日,"2,284,360",,,,,,,,,否,否,
印尼布里园 区有限公司,,2025年3月15 日,"2,811,520",,,,,,,,,否,否,
印尼时代电 池公司,,2025年3月15 日,"1,813,430",,,,,,,,,否,否,
美国时代新 能源科技有 限公司,,2025年3月15 日,"702,880",,,,,,,,,否,否,
澳洲时代新 能源有限公 司,,2025年3月15 日,"702,880",,,,,,,,,否,否,
普勤时代国 际发展有限 公司,,2025年3月15 日,"632,592",,,,,,,,,否,否,
时代星曜新 能源科技有 限公司,,2025年12月06 日,"1,235,325",,,,,,,,,否,否,
报告期内审批对子公司担保额 度合计（C1）,,,"30,510,320",,,报告期内对子公司,,,"16,611,805",,,,,
,,,,,,担保实际发生额合,,,,,,,,
,,,,,,计（C2）,,,,,,,,
报告期末已审批的对子公司担 保额度合计（C3）,,,"57,925,986",,,报告期末对子公司,,,"12,464,402",,,,,
,,,,,,实际担保余额合计,,,,,,,,
,,,,,,（C4）,,,,,,,,
,公司担保总额（即前三大项的合计）,,,,,,,,,,,,,
报告期内审批担保额度合计 （A1+B1+C1）,,,"99,018,755",,,报告期内担保实际,,,"89,060,317",,,,,
,,,,,,发生额合计,,,,,,,,
,,,,,,（A2+B2+C2）,,,,,,,,
