2022年 向特定 对象发 行股票 项目,,2022年 7月4日,,4.宁德 蕉城时 代锂离 子动力 电池生 产基地 项目 （车里 湾项 目）,生产建 设,,否,,,"4,600,000","4,600,000",0,"4,607,773",100.17%,,,2024年 6月1日,,,"1,126,691","3,149,038",是,,,否,,
2022年 向特定 对象发 行股票 项目,,2022年 7月4日,,5.宁德 时代新 能源先 进技术 研发与 应用项 目,研发项 目,,否,,,"6,870,113","6,870,113","577,615","5,278,254",76.83%,,,2026年 7月1日,,,-,-,不适用,,,否,,
,承诺投资项目小计,,,,,,,--,,"44,870,113","44,870,113","1,404,245","39,072,636",,--,,,--,,"14,510,831","47,300,104",,--,,,--,
,超募资金投向,,,,,,,无,,,,,,,,,,,,,,,,,,,
,合计,,,,,,,--,,"44,870,113","44,870,113","1,404,245","39,072,636",,--,,,--,,"14,510,831","47,300,104",,--,,,--,
,分项目说明未达到,,,2024年7月26日，公司召开的第三届董事会第二十九次会议审议通过了《关于部分募集资金投资项目延期的议案》，根据“广东瑞庆时代锂离子电池生产 项目一期”实际建设情况和投资进度，在募投项目实施主体、募集资金投资用途及投资规模不发生变更的情况下，同意公司将该募投项目达到预定可使用 状态日期延期至2026年12月31日。公司保荐机构、监事会对前述募集资金投资项目延期事项均发表了明确的同意意见。具体情况详见公司于2024年7 月27日披露的《关于部分募集资金投资项目延期的公告》。,,,,,,,,,,,,,,,,,,,,,,,
,计划进度、预计收,,,,,,,,,,,,,,,,,,,,,,,,,,
,益的情况和原因,,,,,,,,,,,,,,,,,,,,,,,,,,
,（含“是否达到预计,,,,,,,,,,,,,,,,,,,,,,,,,,
,效益”选择“不适用”,,,,,,,,,,,,,,,,,,,,,,,,,,
,的原因）,,,,,,,,,,,,,,,,,,,,,,,,,,
,项目可行性发生重,,,不适用,,,,,,,,,,,,,,,,,,,,,,,
,大变化的情况说明,,,,,,,,,,,,,,,,,,,,,,,,,,
,超募资金的金额、,,,不适用,,,,,,,,,,,,,,,,,,,,,,,
,用途及使用进展情,,,,,,,,,,,,,,,,,,,,,,,,,,
,况,,,,,,,,,,,,,,,,,,,,,,,,,,
,存在擅自变更募集,,,不适用,,,,,,,,,,,,,,,,,,,,,,,
,资金用途、违规占,,,,,,,,,,,,,,,,,,,,,,,,,,
,用募集资金的情形,,,,,,,,,,,,,,,,,,,,,,,,,,
