,募集资金投资项目,,不适用
,实施地点变更情况,,
,募集资金投资项目,,不适用
,实施方式调整情况,,
募集资金投资项目 先期投入及置换情 况,,,"2022年6月27日，公司召开的第三届董事会第六次会议审议通过了《关于使用募集资金置换先期投入募投项目自筹资金的议案》，同意公司使用向特定 对象发行股票募集资金置换先期投入募投项目的自筹资金人民币13,106,263千元。致同会计师事务所（特殊普通合伙）对宁德时代以自筹资金预先投入 募集资金投资项目的情况进行了审验，并出具了《关于宁德时代新能源科技股份有限公司以自筹资金预先投入募集资金投资项目情况鉴证报告》（致同专 字（2022）第351A013172号）。公司保荐机构、监事会、独立董事对前述以募集资金置换预先投入募集资金投资项目的自筹资金事项均发表了明确的同 意意见。"
,用闲置募集资金暂,,不适用
,时补充流动资金情,,
,况,,
,项目实施出现募集,,不适用
,资金结余的金额及,,
,原因,,
,尚未使用的募集资,,"除上述用于现金管理的金额外，其余尚未使用的募集资金存放在公司募集资金专户内。截至2025年12月31日募集资金专户余额为2,631,955千元。前 述尚未使用的募集资金未来将全部投入承诺募投项目，并根据募投项目建设进度及资金需求，妥善安排使用计划。"
,金用途及去向,,
,募集资金使用及披,,公司严格按照《上市公司募集资金监管规则》《深圳证券交易所上市公司自律监管指引第2号——创业板上市公司规范运作》等监管要求和公司《募集资 金管理制度》的规定进行募集资金管理，并及时、真实、准确、完整披露募集资金的存放与使用情况，不存在募集资金管理违规情况。
,露中存在的问题或,,
,其他情况,,
