,,,,本次变动前,,,,本次变动增减（＋，－）,,,,,,,,,本次变动后,,
,,,数量,,比例,,发行新股,,送 股,,公,,其他,小计,,数量,,比例,
,,,,,,,,,,,积,,,,,,,,
,,,,,,,,,,,金,,,,,,,,
,,,,,,,,,,,转,,,,,,,,
,,,,,,,,,,,股,,,,,,,,
,一、有限售,,"500,910,125",,11.38%,,"46,513",,,,,,"-349,641,808","-349,595,295",,"151,314,830",,3.32%,
,条件股份,,,,,,,,,,,,,,,,,,
,1、国家持,,,,,,,,,,,,,,,,,,
,股,,,,,,,,,,,,,,,,,,
,2、国有法,,,,,,,,,,,,,,,,,,
,人持股,,,,,,,,,,,,,,,,,,
,3、其他内,,"500,910,125",,11.38%,,"46,513",,,,,,"-349,641,808","-349,595,295",,"151,314,830",,3.32%,
,资持股,,,,,,,,,,,,,,,,,,
,其中：,,,,,,,,,,,,,,,,,,
,境内法人持,,,,,,,,,,,,,,,,,,
,股,,,,,,,,,,,,,,,,,,
,境内自,,"500,910,125",,11.38%,,"46,513",,,,,,"-349,641,808","-349,595,295",,"151,314,830",,3.32%,
,然人持股,,,,,,,,,,,,,,,,,,
,4、外资持,,,,,,,,,,,,,,,,,,
,股,,,,,,,,,,,,,,,,,,
,其中：,,,,,,,,,,,,,,,,,,
,境外法人持,,,,,,,,,,,,,,,,,,
,股,,,,,,,,,,,,,,,,,,
,境外自,,,,,,,,,,,,,,,,,,
,然人持股,,,,,,,,,,,,,,,,,,
,二、无限售,,"3,902,556,333",,88.62%,,"160,362,064",,,,,,"349,570,261","509,932,325",,"4,412,488,658",,96.68%,
,条件股份,,,,,,,,,,,,,,,,,,
,1、人民币,,"3,902,556,333",,88.62%,,"4,446,764",,,,,,"349,570,261","354,017,025",,"4,256,573,358",,93.27%,
,普通股,,,,,,,,,,,,,,,,,,
,2、境内上,,,,,,,,,,,,,,,,,,
,市的外资股,,,,,,,,,,,,,,,,,,
,3、境外上,,,,,,"155,915,300",,,,,,,"155,915,300",,"155,915,300",,3.42%,
,市的外资股,,,,,,,,,,,,,,,,,,
,4、其他,,,,,,,,,,,,,,,,,,
,三、股份总,,"4,403,466,458",,100.00%,,"160,408,577",,,,,,"-71,547","160,337,030",,"4,563,803,488",,100.00%,
,数,,,,,,,,,,,,,,,,,,
