,"249,777",,,,"257,489",,,0,年度报告 披露日前 上一月末 表决权恢 复的优先 股股东总 数,0,,,0
,,,,,,,报告期,,,,,,
,,,年度报告披,,,,末表决,,,,持有特别,,
报告期末,,,,,,,,,,,,,
,,,露日前上一,,,,权恢复,,,,表决权股,,
普通股股,,,,,,,,,,,,,
,,,月末普通股,,,,的优先,,,,份的股东,,
东总数,,,,,,,,,,,,,
,,,股东总数,,,,股股东,,,,总数,,
,,,,,,,,,,,,,
,,,,,,,总数,,,,,,
,,,,,,,,,,,,,
持股5%以上的股东或前10名股东持股情况（不含通过转融通出借股份）,,,,,,,,,,,,,
,,,,,,,,报告期内增 减变动情况,,持有无限售条 件的股份数量,,质押、标记或冻,
,,,,,,,,,持有有限售,,,,
,,,,持股,,报告期末持股,,,,,,结情况,
股东名称,,股东性质,,,,,,,条件的股份,,,,
,,,,比例,,数量,,,,,,股份,数量
,,,,,,,,,数量,,,,
,,,,,,,,,,,,状态,
,,,,,,,,,,,,,
厦门瑞庭投资 有限公司,,境内一般法人,,22.45%,,"1,024,704,949",,,,"1,024,704,949",,,
香港中央结算 有限公司,,境外法人,,15.17%,,"692,541,784",,"151,000,312",,"692,541,784",,,
黄世霖,,境内自然人,,9.21%,,"420,388,947",,"-45,632,363",,"420,388,947",,,
宁波联合创新 新能源投资管 理合伙企业 （有限合伙）,,境内一般法人,,6.23%,,"284,220,608",,,,"284,220,608",,,
李平,,境内自然人,,4.33%,,"197,460,277",,"-4,050,000","151,132,708","46,327,569",,质押,"31,920,000"
HKSCC NOMINEES LIMITED,,境外法人,,3.42%,,"155,906,787",,"155,906,787",,"155,906,787",,,
中国工商银行 股份有限公司 －易方达创业 板交易型开放 式指数证券投 资基金,,基金、理财产 品等,,1.07%,,"49,005,734",,"-21,844,489",,"49,005,734",,质押,"600,000"
中国工商银行 股份有限公司 －华泰柏瑞沪 深300交易型 开放式指数证 券投资基金,,基金、理财产 品等,,0.96%,,"43,712,032",,"-1,840,533",,"43,712,032",,,
本田技研工业 （中国）投资 有限公司,,境内一般法人,,0.91%,,"41,400,000",,-,,"41,400,000",,,
