中国建设银行 股份有限公司 －易方达沪深 300交易型开 放式指数发起 式证券投资基 金,基金、理财产 品等,0.68%,"31,173,566","-281,216",,"31,173,566",,
战略投资者或一般法人因配售,,不适用,,,,,,
新股成为前10名股东的情况,,,,,,,,
上述股东关联关系或一致行动,,公司未知晓上述股东之间是否存在关联关系或一致行动。,,,,,,
的说明,,,,,,,,
上述股东涉及委托/受托表决,,不适用,,,,,,
权、放弃表决权情况的说明,,,,,,,,
,,"截至报告期末，宁德时代新能源科技股份有限公司回购专用证券账户持有公司股份 31,982,306 股，占公司总股本比例为 0.7%，为公司第十大股东，该等股份并未载入上述 前 十大股东列表。",,,,,,
前10名股东中存在回购专户的,,,,,,,,
特别说明,,,,,,,,
,,,,,,,,
前10名无限售条件股东持股情况,,,,,,,,
股东名称,,,,报告期末持有无限售条件,,股份种类,,
,,,,股份数量,,股份种类,数量,
厦门瑞庭投资有限公司,,,,"1,024,704,949",,人民币普通股,"1,024,704,949",
香港中央结算有限公司,,,,"692,541,784",,人民币普通股,"692,541,784",
黄世霖,,,,"420,388,947",,人民币普通股,"420,388,947",
宁波联合创新新能源投资管理合伙企业（有限合伙）,,,,"284,220,608",,人民币普通股,"284,220,608",
HKSCC NOMINEES LIMITED,,,,"155,906,787",,境外上市外资 股,"155,906,787",
中国工商银行股份有限公司－易方达创业板交易型开放式 指数证券投资基金,,,,"49,005,734",,人民币普通股,"49,005,734",
李平,,,,"46,327,569",,人民币普通股,"46,327,569",
中国工商银行股份有限公司－华泰柏瑞沪深300交易型开 放式指数证券投资基金,,,,"43,712,032",,人民币普通股,"43,712,032",
本田技研工业（中国）投资有限公司,,,,"41,400,000",,人民币普通股,"41,400,000",
中国建设银行股份有限公司－易方达沪深300交易型开放 式指数发起式证券投资基金,,,,"31,173,566",,人民币普通股,"31,173,566",
前10名无限售流通股股东之,,公司未知晓上述股东之间是否存在关联关系或一致行动。,,,,,,
间，以及前10名无限售流通股,,,,,,,,
股东和前10名股东之间关联关,,,,,,,,
系或一致行动的说明,,,,,,,,
参与融资融券业务股东情况说,,不适用,,,,,,
明,,,,,,,,
