,项目,,,2025年度,,,2024年度,
,一、营业收入,,"265,326,794",,,"191,320,942",,
,减：营业成本,,"187,511,825",,,"122,683,701",,
,税金及附加,,"818,046",,,"500,577",,
,销售费用,,"2,861,766",,,"2,807,720",,
,管理费用,,"4,978,673",,,"4,427,557",,
,研发费用,,"13,801,557",,,"12,001,186",,
,财务费用,,"-7,199,746",,,"-4,946,792",,
,其中：利息费用,,"958,463",,,"1,200,457",,
,利息收入,,"7,626,106",,,"7,132,734",,
,加：其他收益,,"2,466,767",,,"2,198,382",,
,投资收益（损失以“－”号填,,"17,235,661",,,"11,917,152",,
,列）,,,,,,,
,其中：对联营企业和合营企,,"53,268",,,"-494,374",,
,业的投资收益,,,,,,,
,以摊余成本计量的金,,,,,"-38,451",,
,融资产终止确认收益（损失以“-”号填,,,,,,,
,列）,,,,,,,
,净敞口套期收益（损失以“－”,,,,,,,
,号填列）,,,,,,,
,公允价值变动收益（损失以,,"431,831",,,"167,447",,
,“－”号填列）,,,,,,,
,信用减值损失（损失以“-”号填,,"-307,830",,,"-472,408",,
,列）,,,,,,,
,资产减值损失（损失以“-”号填,,"-3,946,894",,,"-5,622,771",,
,列）,,,,,,,
,资产处置收益（损失以“-”号填,,"22,403",,,"47,839",,
,列）,,,,,,,
,二、营业利润（亏损以“－”号填列）,,"78,456,610",,,"62,082,636",,
,加：营业外收入,,"267,447",,,"52,225",,
,减：营业外支出,,"93,679",,,"875,915",,
,三、利润总额（亏损总额以“－”号填,,"78,630,378",,,"61,258,945",,
,列）,,,,,,,
