项目,,,,2025年度,,,,,,,,,,,,,,,,,,,,,
,,,,归属于母公司所有者权益,,,,,,,,,,,,,,,,,,,少数股东 权益,所有者权益 合计,
,,,股本,,,其他权益工,,,,,,,资本公积,减：库存 股,其他综合 收益,专项储备,盈余公积,一般 风险 准备,未分配利润,其他,小计,,,,
,,,,,,具,,,,,,,,,,,,,,,,,,,
,,,,,,优,,,永,,其 他,,,,,,,,,,,,,,
,,,,,,先,,,续,,,,,,,,,,,,,,,,
,,,,,,股,,,债,,,,,,,,,,,,,,,,
,一、上年期,,"4,403,466",,,,,,,,,,"116,756,136","2,712,804","-348,637","35,551","2,194,779",,"126,601,541",,"246,930,033",,"26,526,141","273,456,174",
,末余额,,,,,,,,,,,,,,,,,,,,,,,,
,加：会,,,,,,,,,,,,,,,,,,,,,,,,
,计政策变更,,,,,,,,,,,,,,,,,,,,,,,,
,前,,,,,,,,,,,,,,,,,,,,,,,,
,期差错更正,,,,,,,,,,,,,,,,,,,,,,,,
,其,,,,,,,,,,,,,,,,,,,,,,,,
,他,,,,,,,,,,,,,,,,,,,,,,,,
,二、本年期,,"4,403,466",,,,,,,,,,"116,756,136","2,712,804","-348,637","35,551","2,194,779",,"126,601,541",,"246,930,033",,"26,526,141","273,456,174",
,初余额,,,,,,,,,,,,,,,,,,,,,,,,
,三、本期增,,"160,337",,,,,,,,,,"39,492,078","4,385,189","6,803,060",-36,"80,169",,"48,027,295",,"90,177,714",,"7,392,436","97,570,150",
,减变动金额,,,,,,,,,,,,,,,,,,,,,,,,
,（减少以,,,,,,,,,,,,,,,,,,,,,,,,
,“－”号填,,,,,,,,,,,,,,,,,,,,,,,,
,列）,,,,,,,,,,,,,,,,,,,,,,,,
,（一）综合,,,,,,,,,,,,,,"7,249,870",,,,"72,201,282",,"79,451,151",,"4,555,372","84,006,523",
,收益总额,,,,,,,,,,,,,,,,,,,,,,,,
,（二）所有,,"160,337",,,,,,,,,,"39,492,078","4,385,189",,,,,,,"35,267,226",,"5,149,165","40,416,391",
,者投入和减,,,,,,,,,,,,,,,,,,,,,,,,
