,少资本,,,,,,,,,,,,,,,,
,1．所有者投,,"160,337",,,,"38,234,404","4,385,189",,,,,,,"34,009,553","6,094,575","40,104,128"
,入的普通股,,,,,,,,,,,,,,,,
,2．其他权益,,,,,,,,,,,,,,,,
,工具持有者,,,,,,,,,,,,,,,,
,投入资本,,,,,,,,,,,,,,,,
,3．股份支付,,,,,,"-91,121",,,,,,,,"-91,121","8,597","-82,524"
,计入所有者,,,,,,,,,,,,,,,,
,权益的金额,,,,,,,,,,,,,,,,
,4．其他,,,,,,"1,348,794",,,,,,,,"1,348,794","-954,008","394,787"
,（三）利润,,,,,,,,,,"80,169",,"-24,620,796",,"-24,540,627","-2,302,326","-26,842,954"
,分配,,,,,,,,,,,,,,,,
,1．提取盈余,,,,,,,,,,"80,169",,"-80,169",,,,
,公积,,,,,,,,,,,,,,,,
,2．提取一般,,,,,,,,,,,,,,,,
,风险准备,,,,,,,,,,,,,,,,
,3．对所有者,,,,,,,,,,,,"-24,540,627",,"-24,540,627","-2,302,326","-26,842,954"
,（或股东）,,,,,,,,,,,,,,,,
,的分配,,,,,,,,,,,,,,,,
,4．其他,,,,,,,,,,,,,,,,
,（四）所有,,,,,,,,"-446,809",,,,"446,809",,,,
,者权益内部,,,,,,,,,,,,,,,,
,结转,,,,,,,,,,,,,,,,
,1．资本公积,,,,,,,,,,,,,,,,
,转增资本,,,,,,,,,,,,,,,,
,（或股本）,,,,,,,,,,,,,,,,
,2．盈余公积,,,,,,,,,,,,,,,,
,转增资本,,,,,,,,,,,,,,,,
,（或股本）,,,,,,,,,,,,,,,,
,3．盈余公积,,,,,,,,,,,,,,,,
