项目,,,,2024年度,,,,,,,,,,,,,,,,,,,,
,,,,归属于母公司所有者权益,,,,,,,,,,,,,,,,,,少数股东 权益,所有者权益 合计,
,,,股本,,,其他权益工,,,,资本公积,减：库存 股,其他综合 收益,专项储备,盈余公积,,一,,未分配利润,其 他,小计,,,,
,,,,,,具,,,,,,,,,,般,,,,,,,,
,,,,,优 先 股,,永 续 债,其 他,,,,,,,,风,,,,,,,,
,,,,,,,,,,,,,,,,险,,,,,,,,
,,,,,,,,,,,,,,,,准,,,,,,,,
,,,,,,,,,,,,,,,,备,,,,,,,,
,一、上年期,,"4,399,041",,,,,,,"87,907,213","1,572,972","1,528,223","9,355","2,192,566",,,,"103,244,626",,"197,708,052",,"22,175,098","219,883,151",
,末余额,,,,,,,,,,,,,,,,,,,,,,,
,加：会,,,,,,,,,,,,,,,,,,,,,,,
,计政策变更,,,,,,,,,,,,,,,,,,,,,,,
