项目,,,,2025年度,,,,,,,,,,,,,,,,,
,,,股本,,,其他权益工具,,,,,,,资本公积,减：库存股,其他综合收 益,专项储备,盈余公积,未分配利润,其他,所有者权益合计,
,,,,,,优,,,永,,其 他,,,,,,,,,,
,,,,,,先,,,续,,,,,,,,,,,,
,,,,,,股,,,债,,,,,,,,,,,,
,一、上年期末,,"4,403,466",,,,,,,,,,"94,452,344","2,712,804","-448,715",,"2,201,733","96,650,076",,"194,546,100",
,余额,,,,,,,,,,,,,,,,,,,,
,加：会计,,,,,,,,,,,,,,,,,,,,
,政策变更,,,,,,,,,,,,,,,,,,,,
,前期,,,,,,,,,,,,,,,,,,,,
,差错更正,,,,,,,,,,,,,,,,,,,,
,其他,,,,,,,,,,,,,,,,,,,,
,二、本年期初,,"4,403,466",,,,,,,,,,"94,452,344","2,712,804","-448,715",,"2,201,733","96,650,076",,"194,546,100",
,余额,,,,,,,,,,,,,,,,,,,,
,三、本期增减,,"160,337",,,,,,,,,,"38,192,268","4,385,189","4,183,013",,"80,169","45,961,611",,"84,192,209",
,变动金额（减,,,,,,,,,,,,,,,,,,,,
,少以“－”号填,,,,,,,,,,,,,,,,,,,,
,列）,,,,,,,,,,,,,,,,,,,,
,（一）综合收,,,,,,,,,,,,,,"4,351,205",,,"70,414,214",,"74,765,420",
,益总额,,,,,,,,,,,,,,,,,,,,
