项目,,,,期末余额,,,,,,,,期初余额,,,,,
,,,账面余额,,,,存货跌价准备,,账面价值,,账面余额,,,存货跌价准备,,账面价值,
,,,,,,,或合同履约成,,,,,,,或合同履约成,,,
,,,,,,,本减值准备,,,,,,,本减值准备,,,
,原材料,,,"13,268,735",,"1,996,339",,,"11,272,396",,"10,991,607",,"1,191,496",,,"9,800,111",
,在产品,,,"311,958",,"10,805",,,"301,153",,"613,930",,"17,225",,,"596,705",
,库存商品,,,"26,077,234",,"3,462,601",,,"22,614,633",,"14,339,799",,"3,492,673",,,"10,847,126",
,周转材料,,,"651,058",,"45,455",,,"605,603",,"435,684",,"33,396",,,"402,289",
,合同履约成本,,,"5,331,621",,,,,"5,331,621",,"3,684,683",,,,,"3,684,683",
,发出商品,,,"40,147,908",,"1,473,120",,,"38,674,787",,"24,654,769",,"840,908",,,"23,813,861",
,自制半成品,,,"13,032,414",,"651,858",,,"12,380,556",,"7,974,293",,"450,573",,,"7,523,720",
,委托加工物资,,,"3,421,761",,"76,270",,,"3,345,491",,"3,199,951",,"32,913",,,"3,167,038",
,合计,,"102,242,688",,,"7,716,449",,,"94,526,239",,"65,894,717",,"6,059,183",,,"59,835,533",
