被投资单位,,,期初余额 （账面价 值）,减值准备 期初余额,,本期增减变动,,,,,,,,,,,,,,,,,期末余额 （账面价 值）,减值准 备期末 余额
,,,,,追加投资,,减少投资,,权益法下,,,其他综,,其他权益 变动,,宣告发放,,,计提,,其他,,,
,,,,,,,,,确认的投,,,合收益,,,,现金股利,,,减值,,,,,
,,,,,,,,,资损益,,,调整,,,,或利润,,,准备,,,,,
福建时代闽东新能源产 业股权投资合伙企业 （有限合伙）,,,"463,791",,,,,"-7,750",,,,,,,,,,,,,,,"456,041",
福田时代新能源科技有 限公司,,,"99,554",,,,,"2,164",,,,,,,,,,,,,,,"101,717",
福建时代泽远股权投资 基金合伙企业（有限合 伙）,,,"700,000",,,,,"-5,902",,,,,,,,,,,,,,,"694,098",
其他合营企业,,,"201,149",,"243,000",,,"-1,562",,,,,,"4,804","-8,816",,,,,,,,"438,575",
,小计,,"1,464,494",,"243,000",,,"-13,051",,,,,,"4,804","-8,816",,,,,,,,"1,690,431",
PT Sumberdaya Arindo,,,"3,083,679",,,,,"322,389",,,,,,,"-69,514",,,,,,"-74,570",,"3,261,984",
Newstride Limited,,,"1,313,844",,,,"133,718","125,686",,,,,,,"-45,253",,,,,,"-28,391",,"1,232,168",
小康人寿保险有限责任 公司,,,"991,915",,,,,"122,705",,,"128,323",,,,,,,,,,,,"1,242,944",
上海捷能智电新能源科 技有限公司,,,"752,725",,,,,"5,168",,,,,,,"-1,600",,,,,,,,"756,293",
贵州磷化新能源科技有 限责任公司,,,"632,644",,,,,"-124,473",,,,,,,,,,,,,,,"508,171",
福建宁德智享无限科技 有限公司,,,"417,761","138,113",,,,"68,650",,,,,,"-44,190",,,,,,,,,"442,221","138,113"
苏州天华时代新能源产 业投资有限责任公司,,,"416,383",,,,,"17,440",,,538,,,,,,,,,,,,"434,361",
北京查博士科技股份有 限公司,,,"406,683",,,,,"7,704",,,,,,,,,,,,,,,"414,387",
