项目,,,,房屋及建筑,,机器设备,运输设备,电子设备,专用设备,其他,合计,
,,,,物,,,,,,,,
,一、账面原值：,,,,,,,,,,,
,1.期初余额,,"66,146,133",,,"113,452,434","339,815","2,605,653","3,335,095","431,862","186,310,991",
,2.本期增加金,,"20,205,505",,,"36,849,409","36,776","548,119","3,493,017","1,306,638","62,439,464",
,额,,,,,,,,,,,
,（1）购置,,,,,"324,034","13,499","16,098","1,982","446,915","802,528",
,（2）在建工程转,,"19,613,888",,,"36,165,494","19,900","503,719","3,482,117","831,122","60,616,240",
,入,,,,,,,,,,,
,(3)其他增加,,"591,616",,,"359,881","3,377","28,303","8,918","28,601","1,020,696",
,3.本期减少金,,"367,791",,,"4,695,020","87,792","26,109","156,372","14,255","5,347,340",
,额,,,,,,,,,,,
,（1）处置或报废,,"290,355",,,"4,406,430","8,881","25,501","30,968","7,801","4,769,936",
,（2）其他减少,,"77,436",,,"288,590","78,911",608,"125,405","6,454","577,403",
,4.期末余额,,"85,983,846",,,"145,606,823","288,799","3,127,663","6,671,740","1,724,244","243,403,115",
,二、累计折旧,,,,,,,,,,,
,1.期初余额,,"8,200,773",,,"56,897,503","168,465","1,611,419","229,325","274,473","67,381,957",
,2.本期增加金,,"3,963,545",,,"19,661,375","30,800","467,659","329,849","188,480","24,641,708",
,额,,,,,,,,,,,
,（1）计提,,"3,820,050",,,"19,523,332","29,860","449,823","329,008","170,707","24,322,780",
,（2）其他增加,,"143,495",,,"138,044",940,"17,836",841,"17,773","318,928",
,3.本期减少金,,"256,328",,,"3,246,358","31,344","21,190","98,818","11,009","3,665,046",
,额,,,,,,,,,,,
,（1）处置或报废,,"231,215",,,"3,223,084","6,725","20,479","3,289","7,162","3,491,954",
,（2）其他减少,,"25,113",,,"23,274","24,618",711,"95,529","3,847","173,092",
