,3.本期减少金额,,"149,495",389,"149,884"
,（1）转出,,"149,495",389,"149,884"
,4.期末余额,,"3,831,516","94,069","3,925,585"
,二、累计折旧,,,,
,1.期初余额,,"389,056","2,984","392,040"
,2.本期增加金额,,"330,628","6,739","337,367"
,（1）计提及其他,,"330,628","6,739","337,367"
,增加,,,,
,3.本期减少金额,,"72,399",389,"72,788"
,（1）转出,,"72,399",389,"72,788"
,4.期末余额,,"647,285","9,335","656,619"
,三、减值准备,,,,
,1.期初余额,,,,
,2.本期增加金额,,,,
,（1）计提,,,,
,3.本期减少金额,,,,
,（1）处置,,,,
,4.期末余额,,,,
,四、账面价值,,,,
,1.期末账面价值,,"3,184,231","84,735","3,268,966"
,2.期初账面价值,,"882,750","7,245","889,995"
