,项目,,,土地使用权,,,专利权及非专利技术,,,软件,,,采矿及探矿权,,,商标及域名,,,合计,
,一、账面原值,,,,,,,,,,,,,,,,,,,
,1.期初余额,,"10,375,531",,,"907,806",,,"789,928",,,"8,036,589",,,"62,730",,,"20,172,583",,
,2.本期增加金额,,"1,297,561",,,"5,782",,,"185,844",,,"12,218",,,,,,"1,501,405",,
,（1）购置,,"1,271,884",,,"5,761",,,"185,844",,,"11,226",,,,,,"1,474,715",,
,（2）其他增加,,"25,677",,,21,,,,,,991,,,,,,"26,690",,
,3.本期减少金额,,"79,495",,,"85,726",,,"55,441",,,,,,,,,"220,663",,
,（1）处置,,"68,960",,,"16,981",,,"55,441",,,,,,,,,"141,383",,
,（2）其他减少,,"10,535",,,"68,745",,,,,,,,,,,,"79,280",,
,4.期末余额,,"11,593,596",,,"827,862",,,"920,330",,,"8,048,806",,,"62,730",,,"21,453,325",,
,二、累计摊销,,,,,,,,,,,,,,,,,,,
,1.期初余额,,"772,814",,,"467,046",,,"415,885",,,"38,572",,,,,,"1,694,317",,
,2.本期增加金额,,"247,264",,,"89,509",,,"160,807",,,"14,721",,,,,,"512,301",,
