,项目,,,期初余额,,,本期增加,,,本期减少,,,期末余额,
,1、工资、奖金、津贴和,,"18,554,005",,,"31,829,069",,,"27,368,992",,,"23,014,082",,
,补贴,,,,,,,,,,,,,
,2、职工福利费,,"23,764",,,"1,632,240",,,"1,652,870",,,"3,134",,
,3、社会保险费,,"4,845",,,"1,166,343",,,"1,165,783",,,"5,404",,
,其中：医疗保险费,,"4,379",,,"1,024,159",,,"1,023,437",,,"5,102",,
,工伤保险费,,464,,,"95,151",,,"95,400",,,215,,
,生育保险费,,2,,,"47,032",,,"46,947",,,88,,
,4、住房公积金,,"9,885",,,"786,808",,,"789,900",,,"6,794",,
,5、工会经费和职工教育,,"54,205",,,"207,889",,,"189,296",,,"72,798",,
,经费,,,,,,,,,,,,,
,合计,,"18,646,704",,,"35,622,348",,,"31,166,840",,,"23,102,212",,
