项目,期初金额,,本期发生额,,,,期末余额
,,税后归属于母公司,,,减：前期计入其他综合,,
,,,,,收益当期转入留存收益,,
一、不能重分类进损益的其他综合收益,"722,343","5,323,769",,"446,809",,,"5,599,303"
1.权益法下不能转损益的其他综合收益,"189,976","128,861",,"1,359",,,"317,478"
2.其他权益工具投资公允价值变动,"532,367","5,194,972",,"445,450",,,"5,281,889"
3.其他,,-64,,,,,-64
二、将重分类进损益的其他综合收益,"-1,070,980","1,926,100",,,,,"855,121"
1.权益法下可转损益的其他综合收益,"303,456","14,781",,,,,"318,237"
2.应收款项融资公允价值变动,"-97,949","15,130",,,,,"-82,819"
3.现金流量套期储备,"-2,884,736","2,859,538",,,,,"-25,198"
4.外币财务报表折算差额,"1,608,249","-963,349",,,,,"644,900"
其他综合收益合计,"-348,637","7,249,870",,"446,809",,,"6,454,423"
