,本期所得税前 发生额,,减：前期,,减：所得税 费用,减：税后归属 于少数股东,税后归属于 母公司
,,,计入其他,,,,
,,,综合收益,,,,
,,,当期转入,,,,
,,,损益,,,,
一、不能重分类进损益的其他综合收益,"6,683,792",,,,"1,186,700","173,322","5,323,769"
1.权益法下不能转损益的其他综合收益,"128,861",,,,,,"128,861"
2.其他权益工具投资公允价值变动,"6,555,221",,,,"1,186,700","173,549","5,194,972"
3.其他,-290,,,,,-227,-64
二、将重分类进损益的其他综合收益,"2,027,457",,,,"304,335","-202,978","1,926,100"
1.权益法下可转损益的其他综合收益,"18,610",,,,,"3,829","14,781"
2.应收款项融资公允价值变动,"17,727",,,,"2,659",-62,"15,130"
3.现金流量套期储备,"3,203,075",,,,"301,676","41,862","2,859,538"
4.外币财务报表折算差额,"-1,211,955",,,,,"-248,607","-963,349"
其他综合收益合计,"8,711,249",,,,"1,491,035","-29,655","7,249,870"
