时代绿色能源有限公司下属24家项目子公司,新设成立
CATG Trust GmbH（德国时代新能源科技信托有限公司）,新设成立
CATG Operation Service AG & Co. KG（德国时代新能源科技运营服 务股份有限两合公司）,新设成立
"CATL Korea Co.,Ltd（韩国时代新能源科技有限公司）",新设成立
Contemporary Amperex Technology (Uk) Limited（英国时代新能源科 技有限公司）,新设成立
PT. Nickel Cobalt Halmahera（布里镍钴资源有限公司）,新设成立
CONTEMPORARY AMPEREX MIDDLE EAST TECHNOLOGY - L.L.C - S.P.C（阿联酋时代新能源科技有限公 司）,新设成立
"Contemporary Star Energy, S.L（时代星曜新能源科技有限公司）",新设成立
Contemporary Amperex Technology Italia S.R.L（意大利时代新能源科 技有限公司）,新设成立
Pt Cblib Battery Materials Indonesia（普勤时代（印尼）电池材料有限 公司）,新设成立
Linergy Power Sdn. Bhd.（马来西亚新能安科技有限公司）,购买资产
Hong Kong CBC International Holding Limited(香港CBC国际控股有限 公司),购买资产
Contemporary Amperex Technology ChileSpA.（智利时代新能源科技 有限公司）,购买资产
Contemporary Amperex Technology South Africa (Pty) Ltd（南非时代新 能源科技有限公司）,购买资产
CATGAT Vienna AG（奥地利时代新能源科技（维也纳）股份有限公 司）,购买资产
洛阳国宏新业发展有限公司,购买资产
