项目,2024年12月31日,,,,,,,,,,,,,,
,,一年以内,,,一至二年,,,二至五年,,,五年以上,,,合计,
短期借款,"19,696,282",,,,,,,,,,,,"19,696,282",,
衍生金融负债,"2,116,017",,,,,,,,,,,,"2,116,017",,
应付票据,"67,356,323",,,,,,,,,,,,"67,356,323",,
应付账款,"130,977,408",,,,,,,,,,,,"130,977,408",,
其他应付款,"10,761,762",,,,,,,,,,,,"10,761,762",,
一年内到期的非流动 负债,"22,881,417",,,,,,,,,,,,"22,881,417",,
长期借款,,,,"22,611,084",,,"36,384,553",,,"22,242,818",,,"81,238,456",,
应付债券,,,,"3,548,021",,,"4,866,013",,,"3,508,589",,,"11,922,623",,
租赁负债,,,,"136,886",,,"415,156",,,"110,772",,,"662,814",,
长期应付款,,,,"12,372",,,"756,606",,,"837,502",,,"1,606,480",,
合计,"253,789,209",,,"26,308,364",,,"42,422,328",,,"26,699,681",,,"349,219,581",,
