项目,,,,期末公允价值,,,,,,,,,,
,,,,第一层次公允价值,,,第二层次公允价值,,,第三层次公允价值,,合计,,
,,,,计量,,,计量,,,计量,,,,
,一、持续的公允价值计量,,,,,,,,,,,,,
,（一）交易性金融资产,,,,,"58,993,528",,,,,,"58,993,528",,
,（二）衍生金融资产,,,,,"1,133,502",,,,,,"1,133,502",,
,（三）应收款项融资,,,,,"43,205,292",,,,,,"43,205,292",,
,（四）其他权益工具投资,,"11,769,745",,,,,,"4,527,107",,,"16,296,853",,
,（五）其他非流动金融资产,,,,,,,,"2,882,264",,,"2,882,264",,
持续以公允价值计量的资产总额,,,"11,769,745",,,"103,332,323",,,"7,409,371",,,"122,511,440",,
（一）衍生金融负债,,,,,,"393,224",,,,,,"393,224",,
持续以公允价值计量的负债总额,,,,,,"393,224",,,,,,"393,224",,
