,合营或联营企业名称,,,与本企业关系,
成都电服交投能源科技有限公司,,,合营企业,,
福建时代闽东新能源产业股权投资合伙企业（有限合伙）,,,合营企业,,
福建时代泽远股权投资基金合伙企业（有限合伙）部分子公司,,,合营企业,,
福田时代新能源科技有限公司,,,合营企业,,
国网时代（福建）储能发展有限公司部分子公司,,,合营企业,,
解放时代新能源科技有限公司,,,合营企业,,
晋江闽投电力储能科技有限公司,,,合营企业,,
上海快卜新能源科技有限公司及其部分子公司,,,合营企业,,
宜宾三江绿城能源科技有限公司,,,合营企业,,
阿维塔科技（重庆）股份有限公司,,,联营企业,,
爱行（海南）智慧出行科技有限公司,,,联营企业,,
安脉时代智能制造（宁德）有限公司及其部分子公司,,,联营企业,,
北京查博士科技股份有限公司,,,联营企业,,
北京中汽院科技有限公司,,,联营企业,,
常州锂源新能源科技有限公司部分子公司,,,联营企业,,
东营时代储能科技有限公司,,,联营企业,,
佛山华普气体科技有限公司,,,联营企业,,
福建宏大时代新能源科技有限公司,,,联营企业,,
福建宁德智享无限科技有限公司部分子公司,,,联营企业,,
福建时代星云科技有限公司,,,联营企业,,
福建永福电力设计股份有限公司及其部分子公司,,,联营企业,,
格威半导体（厦门）有限公司,,,联营企业,,
贵安新区中科星城石墨有限公司,,,联营企业,,
贵州磷化新能源科技有限责任公司,,,联营企业,,
国联汽车动力电池研究院有限责任公司,,,联营企业,,
国宁新储（福建）科技有限公司,,,联营企业,,
杭州安脉盛智能技术有限公司,,,联营企业,,
