,被担保方,,,担保金额,,,担保起始日,,,担保到期日,,,担保是否已经履行完毕,
晋江闽投电力储能科技有限公司,,,"2,860",,,2019年7月19日,,,2025年4月20日,,,是,,
晋江闽投电力储能科技有限公司,,,"2,860",,,2019年7月19日,,,2025年10月20日,,,是,,
晋江闽投电力储能科技有限公司,,,"52,140",,,2019年7月19日,,,2034年7月18日,,,否,,
佛山华普气体科技有限公司,,,"1,640",,,2023年1月1日,,,2025年6月21日,,,是,,
佛山华普气体科技有限公司,,,"6,561",,,2023年1月1日,,,2025年12月21日,,,是,,
佛山华普气体科技有限公司,,,"31,163",,,2023年1月1日,,,2027年12月12日,,,否,,
宜春龙蟠时代锂业科技有限公司,,,"16,560",,,2023年8月23日,,,2025年2月21日,,,是,,
宜春龙蟠时代锂业科技有限公司,,,"21,920",,,2023年8月23日,,,2025年8月21日,,,是,,
宜春龙蟠时代锂业科技有限公司,,,"243,358",,,2023年8月23日,,,2030年2月22日,,,否,,
宜春龙蟠时代锂业科技有限公司,,,"112,099",,,2023年8月25日,,,2031年8月24日,,,否,,
PT.QMB New Energy Materials （青美邦新能源材料有限公司）,,,"1,201",,,2024年12月10日,,,2025年12月10日,,,是,,
PT.QMB New Energy Materials （青美邦新能源材料有限公司）,,,"75,901",,,2024年12月10日,,,2029年6月18日,,,否,,
