,,,金额,比例 （%）,金额,,计提,,,金额,比例 （%）,金额,,计提,,
,,,,,,,比例,,,,,,,比例,,
,,,,,,,（%）,,,,,,,（%）,,
,按单,,"715,663",0.83,"715,663",100.00,,,,"730,184",1.01,"730,184",100.00,,,
,项计,,,,,,,,,,,,,,,
,提坏,,,,,,,,,,,,,,,
,账准,,,,,,,,,,,,,,,
,备的,,,,,,,,,,,,,,,
,应收,,,,,,,,,,,,,,,
,账款,,,,,,,,,,,,,,,
,按组,,"85,975,071",99.17,"1,697,330",1.97,,,"84,277,741","71,495,413",98.99,"1,526,352",2.13,,,"69,969,060"
,合计,,,,,,,,,,,,,,,
,提坏,,,,,,,,,,,,,,,
,账准,,,,,,,,,,,,,,,
,备的,,,,,,,,,,,,,,,
,应收,,,,,,,,,,,,,,,
,账款,,,,,,,,,,,,,,,
,其,,,,,,,,,,,,,,,
,中：,,,,,,,,,,,,,,,
应收 外部 客户,,,"55,319,037",63.81,"1,697,330",3.07,,,"53,621,707","41,541,052",57.52,"1,526,352",3.67,,,"40,014,700"
应收 并表 内关 联方,,,"30,656,035",35.36,,,,,"30,656,035","29,954,360",41.47,,,,,"29,954,360"
,合计,,"86,690,735",100.00,"2,412,993",2.78,,,"84,277,741","72,225,597",100.00,"2,256,537",3.12,,,"69,969,060"
