被投资单位,,,期初余额（账面 价值）,减值准备期初 余额,本期增减变动,,,,,,,,,,,,,期末余额（账面,,,减值准备期末,
,,,,,,,,,,,,,,,,,,价值）,,,余额,
,,,,,,追加投资,,,减少投资,,,计提减值准备,,,其他,,,,,,,
海口润时新能源有限公司,,,,,"10,000,000",,,,,,,,,,,,"10,000,000",,,,,
宁德福宁时代新能源有限公司,,,"9,888,747",,"164,703",,,"721,006",,,,,,,,,"9,332,443",,,,,
Contemporary Amperex Technology （Hong Kong）Limited（香港时代新 能源科技有限公司）,,,"6,336,643",,"2,631,061",,,,,,,,,,,,"8,967,703",,,,,
雅江县斯诺威矿业发展有限公司,,,"3,543,681","2,898,976",,,,,,,,,,,,,"3,543,681",,,"2,898,976",,
广东邦普循环科技有限公司,,,"4,735,821",,,,,,,,,,,,,,"4,735,821",,,,,
福鼎时代新能源科技有限公司,,,"4,508,961",,"1,012",,,,,,,,,,,,"4,509,973",,,,,
四川时代新能源科技有限公司,,,"4,252,724",,"2,240",,,,,,,,,,,,"4,254,964",,,,,
宁德时代润智软件科技有限公司,,,"3,219,707",,702,,,,,,,,,,,,"3,220,410",,,,,
厦门新能和科技有限公司,,,"2,527,000",,"448,000",,,,,,,,,,,,"2,975,000",,,,,
宁德蕉城时代新能源科技有限公司,,,"2,500,000",,,,,,,,,,,,,,"2,500,000",,,,,
宁波梅山保税港区问鼎投资有限公司,,,"2,167,000",,,,,,,,,,,,,,"2,167,000",,,,,
宁德时代（上海）智能科技有限公司,,,"2,250,000",,,,,"249,750",,,,,,,,,"2,000,250",,,,,
宜春时代新能源科技有限公司,,,"2,000,000",,,,,,,,,,,,,,"2,000,000",,,,,
其他子公司,,,"25,120,117","3,464,809","4,423,161",,,"1,666",,,"305,619",,,,,,"29,235,993",,,"3,770,427",,
,合计,,"73,050,400","6,363,785","17,670,878",,,"972,422",,,"305,619",,,,,,"89,443,238",,,"6,669,403",,
