被投资单位,,,期初余额 （账面价 值）,减值准 备期初 余额,,本期增减变动,,,,,,,,,,,期末余额 （账面价 值）,减值准备 期末余额,
,,,,,追加投资,,减少投资,权益法下 确认的投 资损益,其他综 合收益 调整,其他权益变 动,宣告发放 现金股利 或利润,,计,,其 他,,,,
,,,,,,,,,,,,,提,,,,,,
,,,,,,,,,,,,,减,,,,,,
,,,,,,,,,,,,,值,,,,,,
,,,,,,,,,,,,,准,,,,,,
,,,,,,,,,,,,,备,,,,,,
,一、合营企业,,,,,,,,,,,,,,,,,,
福建时代泽远股权投资基金合 伙企业（有限合伙）,,,"700,000",,,,,"-5,902",,,,,,,,,"694,098",,
福建时代闽东新能源产业股权 投资合伙企业（有限合伙）,,,"462,941",,,,,"-7,736",,,,,,,,,"455,205",,
解放时代新能源科技有限公司,,,"41,710",,"191,000",,,"11,043",,95,,,,,,,"243,848",,
其他合营企业,,,"177,570",,,,,"-7,467",,"4,709","-8,816",,,,,,"165,996",,
,小计,,"1,382,221",,"191,000",,,"-10,062",,"4,804","-8,816",,,,,,"1,559,147",,
,二、联营企业,,,,,,,,,,,,,,,,,,
小康人寿保险有限责任公司,,,"991,915",,,,,"122,705","128,323",,,,,,,,"1,242,944",,
福建宁德智享无限科技有限公 司,,,"417,761","138,113",,,,"68,650",,"-44,190",,,,,,,"442,221","138,113",
上海捷能智电新能源科技有限 公司,,,"501,817",,,,,"3,445",,,"-1,067",,,,,,"504,195",,
苏州天华时代新能源产业投资 有限责任公司,,,"416,383",,,,,"17,440",538,,,,,,,,"434,361",,
上汽时代动力电池系统有限公 司,,,"278,206",,,,,"24,041",,,"-80,469",,,,,,"221,777",,
上市公司及上市公司部分子公 司投资,,,"6,051,327","583,555","3,292,145",,"2,227,162","-246,287",,,-469,,,,,,"6,869,554","583,555",
其他联营企业,,,"3,957,164","48,189","335,155",,,"73,336",,"59,180","-12,339",,,,,,"4,412,496","48,189",
,小计,,"12,614,572","769,857","3,627,300",,"2,227,162","63,330","128,861","14,991","-94,344",,,,,,"14,127,548","769,857",
,合计,,"13,996,794","769,857","3,818,300",,"2,227,162","53,268","128,861","19,794","-103,160",,,,,,"15,686,695","769,857",
